Symbol,Price,Change,ChangePercent,MarketCap,PERatio,EPS,High52Week,Low52Week,AvgVolume10D,AvgVolume3M
AAPL,272.95,-1.28,-0.4668,4007217.2,34.0238,7.9038,288.62,169.2101,47.29245,48.46694
MSFT,401.72,1.12,0.2796,2974707,24.9426,15.9824,555.45,344.79,35.56848,29.42842
GOOGL,307.38,-5.52,-1.7641,3719070.2,28.1385,10.8058,349,140.53,36.54445,36.85178
GOOG,307.15,-5.88,-1.8784,3719070.2,28.1385,10.8058,349,140.53,36.54445,36.85178
AMZN,207.92,-2.72,-1.2913,2261203.8,29.113,7.1722,258.6,161.38,57.43412,48.76328
META,657.01,3.32,0.5079,1653545.1,27.3503,23.491000000000003,796.25,479.8,12.32357,17.84797
TSLA,408.58,-8.82,-2.1131,1566265,412.8268,1.0757,498.83,214.25,56.83308,72.80137
NVDA,184.89,-10.67,-5.4561,4752108,47.9053,4.0375,212.1899,86.62,172.53616,180.93955
NFLX,84.59,1.89,2.2854,359348.22,32.7239,2.5271999999999997,134.12,75.01,42.5805,46.88115
ORCL,150.31,2.42,1.6364,425049.3,27.5559,5.3219,345.72,118.86,22.58216,26.51911
ADBE,259.04,1.23,0.4771,105831.01,14.8431,16.7064,453.26,244.28,6.26952,4.60793
CRM,199.47,7.72,4.0261,185582.31,24.887,7.808400000000001,313.7,174.57,14.48878,9.73752
INTC,45.46,-1.42,-3.029,227072.7,,-0.0821,54.6,17.665,79.1968,100.56654
AMD,203.68,-7.18,-3.4051,343788.44,79.3053,2.6454,267.0799,76.48,37.73682,42.29466
QCOM,145.59,-0.23,-0.1577,155344.53,28.9552,4.8404,205.95,120.8019,10.07342,10.36726
CSCO,78.1,-1.02,-1.2892,312515.53,28.2156,2.7763,88.185,52.11,30.54799,22.29147
TXN,212.63,-1.27,-0.5937,193290.14,38.6503,5.476,231.32,139.95,6.95713,8.0414
AVGO,321.7,-10.61,-3.1928,1525267.8,65.9547,4.7608999999999995,414.61,138.1,18.7553,27.42851
IBM,242.01,4.47,1.8818,227070.06,21.4338,11.1492,324.9,214.5,8.70449,5.3274
NOW,109.3,5.07,4.8642,109024.586,62.371,1.6695000000000002,211.48,98,20.86217,13.14856
UBER,74.8,1.97,2.7049,149892.58,14.9102,4.7338000000000005,101.99,60.63,22.50983,19.99685
ABNB,136.97,4.95,3.7494,80362.42,30.5444,4.2067,145.69,99.88,6.88262,4.89328
PYPL,45.53,-1.79,-3.7828,41917.855,8.0103,5.4208,79.5,38.46,33.76958,20.94053
SQ,0,,,53899.023,47.7364,1.7770000000000001,76.5,44.27,15.75383,8.90553
SHOP,125.94,5.63,4.6796,164239.78,133.4198,0.9371,182.19,69.84,20.37165,10.23311
SNAP,5.26,0.19,3.7475,8562.986,,-0.2737,10.585,4.6501,48.24134,48.63995
ZM,75.54,-9.89,-11.5767,25223.99,15.825,5.1480999999999995,97.58,64.41,4.14927,3.21154
ROKU,93.47,1.19,1.2896,13780.074,155.952,0.5747,116.6599,52.43,5.608,3.41128
TWLO,119.61,1.29,1.0903,18122.59,535.6325,0.19710000000000003,145.9,77.512,3.4691,2.43123
CRWD,381.1,17.79,4.8966,91589.88,,-1.2634,566.9,298,5.4965,2.85415
PANW,149.4,4.56,3.1483,118189.44,92.1986,1.806,223.61,139.5706,21.43493,8.16731
FTNT,79.2,1.85,2.3917,58785.383,31.7176,2.4266,111.31,70.12,7.09872,6.16998
SNOW,173.06,3.85,2.2753,57903.664,,-4.0355,280.67,120.1,7.23076,5.38865
PLTR,135.94,1.75,1.3041,320938.97,197.4969,0.6327999999999999,207.52,66.12,53.30449,48.5521
DASH,180.41,7.35,4.2471,75204.414,80.4325,2.1264,285.5,155.4,9.29549,5.56726
COIN,181.06,-2.88,-1.5657,48573.934,38.5407,4.3621,444.645,139.36,16.54991,10.50183
HOOD,79.45,1.92,2.4765,69858.51,37.0996,2.0589999999999997,153.8599,29.66,36.47027,28.18433
